ts,priority,dropped_count
2026-02-20T05:04:16.228563200+00:00,normal,1
2026-02-20T05:04:16.230886200+00:00,normal,1
2026-02-20T05:04:16.283131300+00:00,normal,1
2026-02-20T05:04:16.283479400+00:00,normal,1
2026-02-20T05:04:16.345745900+00:00,normal,1
2026-02-20T05:04:16.395958600+00:00,normal,1
2026-02-20T05:04:16.396850100+00:00,normal,1
2026-02-20T05:04:16.446054700+00:00,normal,1
2026-02-20T05:04:16.462474700+00:00,normal,1
2026-02-20T05:04:16.505124900+00:00,normal,1
2026-02-20T05:04:16.517199600+00:00,normal,1
2026-02-20T05:04:16.566601600+00:00,normal,1
2026-02-20T05:04:16.611895300+00:00,normal,1
2026-02-20T05:04:18.545116900+00:00,normal,1
2026-02-20T05:04:18.578715400+00:00,normal,1
2026-02-20T05:04:18.595344300+00:00,normal,1
2026-02-20T05:04:18.645430900+00:00,normal,1
2026-02-20T05:04:18.676189500+00:00,normal,1
2026-02-20T05:04:18.692256500+00:00,normal,1
2026-02-20T05:04:18.708251200+00:00,normal,1
2026-02-20T05:04:18.758474900+00:00,normal,1
2026-02-20T05:04:18.795131900+00:00,normal,1
2026-02-20T05:04:18.809757700+00:00,normal,1
2026-02-20T05:04:18.858782100+00:00,normal,1
2026-02-20T05:04:18.876528200+00:00,normal,1
2026-02-20T05:04:18.892542900+00:00,normal,1
2026-02-20T05:04:18.911679+00:00,normal,1
2026-02-20T05:04:18.961728900+00:00,normal,1
2026-02-20T05:04:18.995249500+00:00,normal,1
2026-02-20T05:04:19.014743900+00:00,normal,1
2026-02-20T05:04:19.077117400+00:00,normal,1
2026-02-20T05:04:19.077284300+00:00,normal,1
2026-02-20T05:04:19.093084100+00:00,normal,1
2026-02-20T05:04:19.127251200+00:00,normal,1
2026-02-20T05:04:19.183533800+00:00,normal,1
2026-02-20T05:04:19.199343500+00:00,normal,1
2026-02-20T05:04:19.247603500+00:00,normal,1
2026-02-20T05:04:19.279334200+00:00,normal,1
2026-02-20T05:04:19.311304400+00:00,normal,1
2026-02-20T05:04:19.311499200+00:00,normal,1
2026-02-20T05:04:19.362586200+00:00,normal,1
2026-02-20T05:04:19.412182700+00:00,normal,1
2026-02-20T05:04:19.412491400+00:00,normal,1
2026-02-20T05:04:19.462552+00:00,normal,1
2026-02-20T05:04:19.477418200+00:00,normal,1
2026-02-20T05:04:19.518099400+00:00,normal,1
2026-02-20T05:04:19.518965300+00:00,normal,1
2026-02-20T05:04:19.570026300+00:00,normal,1
2026-02-20T05:04:19.628297300+00:00,normal,1
2026-02-20T05:04:19.628469+00:00,normal,1
2026-02-20T05:04:19.676418800+00:00,normal,1
2026-02-20T05:04:19.692143800+00:00,normal,1
2026-02-20T05:04:19.732431500+00:00,normal,1
2026-02-20T05:04:19.744923600+00:00,normal,1
2026-02-20T05:04:19.794057200+00:00,normal,1
2026-02-20T05:04:19.830259900+00:00,normal,1
2026-02-20T05:04:19.845335800+00:00,normal,1
2026-02-20T05:04:19.877758+00:00,normal,1
2026-02-20T05:04:19.893733600+00:00,normal,1
2026-02-20T05:04:19.936023200+00:00,normal,1
2026-02-20T05:04:19.952193+00:00,normal,1
2026-02-20T05:04:20.007505400+00:00,normal,1
2026-02-20T05:04:20.045555900+00:00,normal,1
2026-02-20T05:04:20.060636500+00:00,normal,1
2026-02-20T05:04:20.079834500+00:00,normal,1
2026-02-20T05:04:20.111939100+00:00,normal,1
2026-02-20T05:04:20.149886+00:00,normal,1
2026-02-20T05:04:20.158613600+00:00,normal,1
2026-02-20T05:04:20.210559100+00:00,normal,1
2026-02-20T05:04:20.259860200+00:00,normal,1
2026-02-20T05:04:20.260110300+00:00,normal,1
2026-02-20T05:04:20.292279100+00:00,normal,1
2026-02-20T05:04:20.309808700+00:00,normal,1
2026-02-20T05:04:20.359813400+00:00,normal,1
2026-02-20T05:04:20.361666900+00:00,normal,1
2026-02-20T05:04:20.410347500+00:00,normal,1
2026-02-20T05:04:20.473437700+00:00,normal,1
2026-02-20T05:04:20.473732700+00:00,normal,1
2026-02-20T05:04:20.499296900+00:00,normal,1
2026-02-20T05:04:20.528996800+00:00,normal,1
2026-02-20T05:04:20.578007600+00:00,normal,1
2026-02-20T05:04:20.595298600+00:00,normal,1
2026-02-20T05:04:20.647750600+00:00,normal,1
2026-02-20T05:04:20.678770700+00:00,normal,1
2026-02-20T05:04:20.695859500+00:00,normal,1
2026-02-20T05:04:20.701792+00:00,normal,1
2026-02-20T05:04:20.761119+00:00,normal,1
2026-02-20T05:04:20.779482100+00:00,normal,1
2026-02-20T05:04:20.811663100+00:00,normal,1
2026-02-20T05:04:20.863419200+00:00,normal,1
2026-02-20T05:04:20.879144900+00:00,normal,1
2026-02-20T05:04:20.912332800+00:00,normal,1
2026-02-20T05:04:20.912529700+00:00,normal,1
2026-02-20T05:04:20.962775600+00:00,normal,1
2026-02-20T05:04:20.978737+00:00,normal,1
2026-02-20T05:04:21.011755800+00:00,normal,1
2026-02-20T05:04:21.062669600+00:00,normal,1
2026-02-20T05:04:21.078357900+00:00,normal,1
2026-02-20T05:04:21.111514200+00:00,normal,1
2026-02-20T05:04:21.128512500+00:00,normal,1
2026-02-20T05:04:21.161780100+00:00,normal,1
2026-02-20T05:04:21.178471600+00:00,normal,1
2026-02-20T05:04:21.212031900+00:00,normal,1
2026-02-20T05:04:21.261944900+00:00,normal,1
2026-02-20T05:04:21.278489700+00:00,normal,1
2026-02-20T05:04:21.311895600+00:00,normal,1
2026-02-20T05:04:21.328724400+00:00,normal,1
2026-02-20T05:04:21.361907500+00:00,normal,1
